Rk,Player,FGA,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos
58,Mo Williams,12.6,2014-15,32,"CHO,MIN",68,33,0,29.1,5,12.6,3.3,7.5,1.8,5.1,2.4,2.8,0.3,2.2,2.6,6.2,0.7,0.2,2.5,2.4,14.2,0.397,0.434,0.342,0.872,0.512,0.466,G
59,Mike Conley,12.6,2014-15,27,MEM,70,70,0,31.8,5.6,12.6,4.1,8.6,1.5,4,3.1,3.6,0.4,2.6,3,5.4,1.3,0.2,2.2,2,15.8,0.446,0.473,0.386,0.859,0.558,0.506,G
60,Chandler Parsons,12.6,2014-15,26,DAL,66,66,0,33.1,5.8,12.6,3.8,7.3,2,5.3,2.1,2.9,1,3.9,4.9,2.4,1,0.3,1.5,2.1,15.7,0.462,0.521,0.38,0.72,0.567,0.542,F
61,Wesley Matthews,12.5,2014-15,28,POR,60,60,0,33.7,5.6,12.5,2.7,5.1,2.9,7.4,1.8,2.4,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9,0.448,0.534,0.389,0.752,0.586,0.563,G
62,Wilson Chandler,12.5,2014-15,27,DEN,78,75,0,31.7,5.4,12.5,3.6,7.3,1.8,5.2,1.4,1.8,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3,13.9,0.429,0.49,0.342,0.775,0.523,0.5,F
63,Andrea Bargnani,12.4,2014-15,29,NYK,29,22,0,27.1,5.7,12.4,5.1,11,0.5,1.4,3,3.7,1.1,3.3,4.4,1.6,0.1,0.9,1.4,1.8,14.8,0.454,0.466,0.366,0.813,0.527,0.475,F-C
64,George Hill,12.4,2014-15,28,IND,43,36,0,29.5,5.9,12.4,4.3,8,1.6,4.5,2.6,3.3,0.6,3.6,4.2,5.1,1,0.3,1.6,2.6,16.1,0.477,0.544,0.358,0.79,0.579,0.541,G
65,Derrick Favors,12.4,2014-15,23,UTA,74,74,0,30.8,6.5,12.4,6.5,12.3,0,0.1,3,4.5,2.6,5.6,8.2,1.5,0.8,1.7,1.6,2.8,16,0.525,0.527,0.167,0.669,0.558,0.526,F-C
66,Jeff Green,12.4,2014-15,28,"BOS,MEM",78,70,0,31.5,5.3,12.4,4.1,8.7,1.2,3.7,3.1,3.7,0.8,3.4,4.2,1.7,0.7,0.4,1.4,1.9,15,0.43,0.473,0.332,0.833,0.534,0.48,F
67,Enes Freedom,12.4,2014-15,22,"OKC,UTA",75,74,0,28.5,6.4,12.4,6.2,11.8,0.2,0.6,2.4,3.1,3.7,5.3,8.9,0.7,0.5,0.4,1.9,2.5,15.5,0.519,0.528,0.356,0.782,0.564,0.528,C
68,Greg Monroe,12.4,2014-15,24,DET,69,57,0,31,6.1,12.4,6.1,12.4,0,0,3.7,4.9,3.3,6.9,10.2,2.1,1.1,0.5,2.2,2.1,15.9,0.496,0.496,,0.75,0.549,0.496,C-F
69,Ty Lawson,12.3,2014-15,27,DEN,75,75,0,35.5,5.4,12.3,4.5,9.6,0.9,2.7,3.5,4.8,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2,0.436,0.463,0.341,0.73,0.526,0.474,G
70,Serge Ibaka,12.3,2014-15,25,OKC,64,64,0,33.1,5.8,12.3,4.6,9.1,1.2,3.2,1.4,1.7,2.1,5.7,7.8,0.9,0.5,2.4,1.5,3,14.3,0.476,0.511,0.376,0.836,0.549,0.525,F-C
71,Tony Parker,12.2,2014-15,32,SAS,68,68,0,28.7,5.9,12.2,5.4,10.9,0.6,1.3,1.9,2.4,0.2,1.7,1.9,4.9,0.6,0,2.1,1.6,14.4,0.486,0.493,0.427,0.783,0.539,0.508,G
72,Darren Collison,12.2,2014-15,27,SAC,45,45,0,34.8,5.8,12.2,4.4,8.6,1.3,3.6,3.2,4.1,0.4,2.8,3.2,5.6,1.5,0.3,2.5,2.1,16.1,0.473,0.514,0.373,0.788,0.575,0.527,G
73,Jared Sullinger,12.2,2014-15,22,BOS,58,49,0,27,5.4,12.2,4.5,9,0.9,3.2,1.7,2.2,2.5,5.1,7.6,2.3,0.8,0.7,1.3,2.6,13.3,0.439,0.494,0.283,0.744,0.503,0.476,F
74,Jeff Teague,12.2,2014-15,26,ATL,73,72,1,30.5,5.6,12.2,4.6,9.3,1,2.8,3.8,4.4,0.4,2.1,2.5,7,1.7,0.4,2.8,1.9,15.9,0.46,0.496,0.343,0.862,0.566,0.5,G
75,JJ Redick,12,2014-15,30,LAC,78,78,0,30.9,5.7,12,3.2,6.2,2.6,5.9,2.3,2.6,0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7,16.4,0.477,0.515,0.437,0.901,0.622,0.583,G
76,Ryan Anderson,12,2014-15,26,NOP,61,5,0,27.5,4.8,12,2.8,6.1,2,5.9,2.1,2.5,1.8,3.1,4.8,0.9,0.5,0.3,1,1.9,13.7,0.399,0.457,0.34,0.854,0.524,0.483,F
77,Isaiah Thomas,11.9,2014-15,25,"BOS,PHO",67,1,0,25.8,5,11.9,3.1,6.7,1.9,5.2,4.5,5.2,0.5,1.8,2.3,4.2,0.9,0.1,2.1,2.2,16.4,0.42,0.457,0.373,0.868,0.579,0.501,G
78,Josh Smith,11.9,2014-15,29,"DET,HOU",83,35,0,27.7,5,11.9,4.1,9.1,0.9,2.7,1.5,3.1,1.8,4.6,6.4,3.3,1,1.4,2.5,2.7,12.4,0.419,0.451,0.316,0.498,0.467,0.456,F
79,Kentavious Caldwell-Pope,11.9,2014-15,21,DET,82,82,0,31.5,4.8,11.9,2.9,6.4,1.9,5.4,1.3,1.9,0.6,2.5,3.1,1.3,1.1,0.2,1.1,2,12.7,0.401,0.449,0.345,0.696,0.501,0.48,G
80,Dion Waiters,11.8,2014-15,23,"CLE,OKC",80,23,0,27.6,4.7,11.8,3.8,8.8,0.9,3.1,1.5,2.2,0.5,1.9,2.4,2,1.1,0.3,1.4,1.9,11.8,0.396,0.431,0.297,0.68,0.46,0.435,G
81,C.J. Miles,11.8,2014-15,27,IND,70,40,0,26.3,4.7,11.8,2.5,5.4,2.2,6.4,1.9,2.3,0.3,2.8,3.1,1.1,0.9,0.4,1,1.9,13.5,0.398,0.459,0.345,0.807,0.525,0.491,G-F
